sfx,iter,factor,sample_size,n_types,entropy
-schaft,47,0.0625,1200,81,4.377582653330928
-schaft,48,1.0,19197,137,4.472869858803181
-schaft,48,0.5,9599,122,4.4792638803767755
-schaft,48,0.25,4800,104,4.487037974606083
-schaft,48,0.125,2400,88,4.533516558407423
-schaft,48,0.0625,1200,76,4.433246675204255
-schaft,49,1.0,19197,142,4.507195792334786
-schaft,49,0.5,9599,125,4.501558996175877
-schaft,49,0.25,4800,110,4.513448910672094
-schaft,49,0.125,2400,81,4.410036237595026
-schaft,49,0.0625,1200,76,4.419720189145065
-schaft,50,1.0,19197,143,4.481828755059254
-schaft,50,0.5,9599,123,4.494618600325059
-schaft,50,0.25,4800,103,4.449672749645989
